model,task suite,stats,episodes,total success nrate,rollout horizon,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,notes ,main behavior,checkpoint position
OpenVLA-7B base,libero_spatial,libero_spatial_no_noops,10*10,0%,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Base model with matched LIBERO Spatial no-noops action stats; 10 tasks * 10 trials; confirms stats alone do not solve the task. (rollout horizon: * 1.0 is defalut num of act step),,/root/gpufree-data/project/datadisk/checkpoints/openvla-7b-base-libero-spatial-no-noops-stats
openvla official LoRA-finetuned OpenVLA-7B,libero_spatial,libero_spatial_no_noops,10*10,71.00%,1,80%,80%,80%,100%,50%,30%,90%,50%,70%,80%,Self-trained finetuned checkpoint; 10 tasks * 10 trials; observed improvement over base. ,,/root/gpufree-data/project/datadisk/checkpoints/openvla-7b-finetuned-libero-spatial
Self-trained OpenVLA-7B,libero_spatial,libero_spatial_no_noops,50*10,11.40%,1,8%,12%,16%,16%,4%,4%,28%,0%,18%,8%,Separate 10 * 10 and 10 * 50evaluation for self-trained checkpoint; pending result. ,,/root/gpufree-data/project/datadisk/checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug
Self-trained OpenVLA-7B,libero_spatial,libero_spatial_no_noops,10*10,10.00%,1,0%,0%,10%,20%,10%,0%,30%,0%,10%,20%,Separate 10 * 10 and 10 * 50evaluation for self-trained checkpoint; pending result. ,,/root/gpufree-data/project/datadisk/checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug
Remerged Self-trained LoRA-finetuned OpenVLA-7B,libero_spatial,libero_spatial_no_noops,10*10,11%,1,0%,10%,10%,10%,10%,0%,40%,0%,20%,10%,Remerged checkpoint; 10 tasks * 10 trials; performance consistent with original self-finetuned checkpoint. ,,/root/gpufree-data/project/datadisk/checkpoints/remerged-openvla-libero-spatial-image-aug
Self-trained OpenVLA-7B,libero_spatial,libero_spatial_no_noops,5*10,10.00%,1.5,0%,0%,20%,20%,20%,0%,20%,0%,0%,20%,Separate 10 * 10 and 10 * 50evaluation for self-trained checkpoint; pending result. ,,/root/gpufree-data/project/datadisk/checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug
Self-trained OpenVLA-7B,libero_spatial,libero_spatial_no_noops,5*10,10.00%,2,0%,0%,20%,20%,20%,0%,20%,0%,0%,20%,Separate 10 * 10 and 10 * 50evaluation for self-trained checkpoint; pending result. ,,/root/gpufree-data/project/datadisk/checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r16+dropout-0.0--image_aug
